45,1,41,211,75,125,75
121,23,207,49,141,55,141
255,41,65,153,81,95,81
231,79,1,217,11,87,11
29,7,155,17,137,73,137
97,191,95,113,3,97,3
25,75,93,5,3,3,3
117,167,91,17,45,33,45
169,97,71,189,49,45,49
85,71,13,33,165,111,165
31,107,119,45,109,51,109
65,105,113,145,7,83,7
37,63,23,173,3,67,3
47,13,55,87,95,49,95
123,77,101,57,173,93,173
101,175,163,187,139,173,139
113,97,183,193,65,47,65
71,65,9,81,17,291,17
95,95,121,23,215,103,215
91,31,71,25,63,33,63
89,19,93,37,65,109,65
63,47,15,119,21,265,21
15,27,199,137,229,89,229
343,29,21,115,139,23,139
81,159,59,103,37,53,37
105,101,93,19,19,133,19
11,101,39,43,17,117,17
43,69,155,73,149,21,149
83,43,75,129,1,111,1
61,99,181,27,97,153,97
63,69,67,103,29,11,29
85,125,41,77,71,33,71
65,91,147,101,29,47,29
13,67,41,15,39,3,39
51,5,55,53,17,11,17
143,39,81,29,111,139,111
225,99,73,99,155,131,155
23,151,1,61,45,107,45
3,19,111,65,7,153,7
25,13,133,7,63,173,63
1,35,47,125,19,223,19
115,125,87,5,205,49,205
205,7,37,111,11,53,11
15,75,129,1,125,49,125
111,89,15,11,61,27,61
143,99,211,7,63,99,63
11,13,91,135,3,253,3
25,97,115,33,39,33,39
69,185,25,55,125,57,125
63,83,83,41,19,143,19
149,15,67,5,39,107,39
91,17,25,109,17,77,17
45,71,47,97,101,239,101
43,33,81,53,19,63,19
45,53,25,357,123,31,123
175,163,185,145,217,171,217
57,35,11,173,85,33,85
85,55,3,19,203,63,203
85,167,145,235,31,11,31
157,47,29,9,217,61,217
103,105,41,39,5,9,5
105,21,147,219,27,23,27
33,151,59,39,23,121,23
79,81,49,63,123,75,123
65,149,93,5,61,57,61
33,99,117,209,73,225,73
37,87,15,23,13,65,13
135,253,273,49,21,233,21
95,43,91,27,13,157,13
105,61,15,75,141,79,141
55,133,105,45,95,3,95
159,169,229,61,23,21,23
3,97,101,117,19,11,19
39,111,231,129,139,97,139
45,75,169,113,71,153,71
145,5,73,265,23,103,23
25,7,21,87,25,41,25
99,73,29,45,29,93,29
9,27,25,127,39,17,39
185,159,65,15,139,171,139
109,97,203,115,75,81,75
55,5,33,63,145,33,145
75,175,179,99,23,45,23
9,119,187,7,119,81,119
67,29,31,1,183,157,183
7,73,35,25,103,7,103
11,73,3,111,29,21,29
21,141,25,95,35,43,35
33,5,159,89,61,55,61
25,141,165,7,5,101,5
55,119,11,49,3,155,3
79,41,147,53,93,13,93
87,51,69,61,39,125,39
1,1,93,3,15,151,15
57,55,51,17,21,93,21
63,53,1,7,81,47,81
39,61,141,157,9,39,9
145,47,51,163,29,57,29
49,87,69,131,83,39,83
5,67,97,129,167,165,167
177,21,131,73,71,23,71
75,45,105,111,43,23,43
111,11,95,57,1,17,1
51,77,65,77,21,123,21
129,121,65,75,21,3,21
37,43,65,31,31,67,31
9,49,9,43,47,27,47
203,89,1,13,13,67,13
35,37,49,53,283,17,283
155,107,143,193,45,97,45
213,13,11,227,159,191,159
91,179,107,127,1,13,1
15,27,7,63,27,35,27
73,59,87,183,15,33,15
51,61,37,109,13,25,13
59,95,83,147,35,99,35
15,79,23,53,57,17,57
53,177,61,9,195,5,195
179,109,19,57,25,67,25
205,103,41,61,21,57,21
67,55,33,35,97,109,97
61,183,61,117,157,43,157
135,19,3,5,49,83,49
49,71,145,33,155,51,155
49,19,119,53,5,5,5
51,65,113,45,73,47,73
61,95,17,55,11,67,11
33,187,91,161,83,135,83
15,3,85,1,17,93,17
3,3,27,3,13,57,13
73,39,111,13,45,119,45
149,117,183,55,147,31,147
59,133,31,39,47,1,47
147,47,179,87,39,89,39
7,13,105,3,259,151,259
31,9,55,13,29,51,29
25,169,81,27,23,9,23
63,89,129,83,73,79,73
45,79,173,107,67,37,67
57,89,131,47,117,53,117
29,105,93,17,29,19,29
125,1,187,31,33,35,33
11,69,199,93,107,123,107
135,47,39,43,87,163,87
11,19,113,5,19,85,19
73,75,15,127,91,3,91
67,111,73,97,45,167,45
249,7,155,11,137,23,137
23,11,193,35,267,1,267
177,149,85,31,91,65,91
43,301,209,187,7,73,7
139,187,99,81,41,35,41
85,127,27,41,59,25,59
15,237,35,183,95,23,95
31,19,25,127,53,109,53
91,147,59,17,279,87,279
1,61,23,95,45,153,45
19,163,83,117,25,103,25
31,75,33,63,131,95,131
109,99,11,61,147,11,147
53,157,103,13,167,53,167
149,57,9,29,117,151,117
21,113,13,9,243,131,243
129,57,83,15,3,1,3
49,89,153,47,115,207,115
51,83,61,85,225,81,225
141,251,97,227,79,191,79
25,249,1,91,197,11,197
179,157,59,11,107,35,107
11,85,21,27,39,31,39
99,73,163,183,47,107,47
93,183,63,41,157,3,157
149,55,33,35,17,81,17
173,19,147,187,61,25,61
113,159,33,59,15,217,15
27,83,111,49,81,59,81
37,105,93,1,159,51,159
65,21,19,35,93,29,93
101,111,145,153,19,181,19
169,123,133,81,53,101,53
69,119,121,161,9,145,9
11,47,35,157,59,85,59
5,43,107,59,59,45,59
67,77,35,7,7,61,7
59,1,51,47,93,3,93
179,189,37,113,29,169,29
105,51,111,43,109,1,109
233,125,221,25,5,21,5
61,1,13,33,21,73,21
47,5,33,3,207,181,207
65,35,55,63,101,59,101
99,9,105,25,77,105,77
93,115,43,75,9,151,9
165,67,27,53,75,91,75
45,59,143,91,95,81,95
113,41,183,63,27,29,27
5,197,63,85,33,113,33
81,67,1,119,97,199,97
109,85,31,19,29,95,29
5,43,35,57,183,3,183
127,125,199,79,233,179,233
9,39,7,89,151,167,151
173,159,59,69,87,87,87
83,95,13,87,83,89,83
85,85,49,43,99,41,99
63,53,5,11,127,27,127
43,101,65,109,45,53,45
17,131,89,27,35,69,35
19,185,1,23,217,107,217
107,63,101,25,9,1,9
247,37,77,165,93,147,93
129,39,111,15,9,123,9
31,31,29,3,85,25,85
3,163,97,109,39,61,39
125,21,71,49,79,77,79
7,83,159,73,75,51,75
101,101,13,45,107,1,107
35,47,107,1,85,225,85
23,223,67,145,111,149,111
51,27,25,17,15,55,15
125,47,71,281,61,59,61
99,99,99,43,11,105,11
73,71,47,59,13,33,13
31,5,85,25,125,97,125
103,103,117,47,177,129,177
37,157,213,21,31,127,31
63,95,25,15,243,59,243
145,67,121,193,27,83,27
107,155,117,11,133,31,133
117,15,55,225,147,47,147
107,11,15,5,31,25,31
37,21,25,5,133,101,133
117,91,205,133,111,139,111
47,99,133,147,77,109,77
57,199,7,15,31,43,31
119,139,61,93,103,85,103
75,49,23,19,11,47,11
137,65,51,13,153,33,153
27,231,3,55,71,41,71
13,69,103,211,11,11,11
27,163,69,217,27,65,27
17,125,143,67,117,57,117
23,15,43,5,143,83,143
59,83,3,25,19,39,19
121,35,51,3,311,51,311
11,27,13,75,7,103,7
59,105,157,57,69,117,69
57,123,71,19,103,23,103
87,29,15,55,27,89,27
45,25,107,35,91,59,91
219,145,65,51,113,99,113
49,145,141,147,81,19,81
101,13,101,117,57,51,57
87,53,21,157,23,175,23
11,41,81,65,33,71,33
21,59,35,79,95,23,95
89,65,13,19,9,209,9
29,23,207,31,7,123,7
47,111,3,59,71,129,71
143,83,17,127,105,15,105
67,59,33,25,93,11,93
99,181,107,91,49,155,49
65,47,13,7,13,91,13
5,191,5,25,117,83,117
57,25,11,3,85,33,85
121,71,53,55,45,93,45
161,201,233,33,147,37,147
27,43,61,25,189,123,189
129,159,83,11,37,75,37
1,213,15,99,183,39,183
3,83,3,21,171,75,171
85,25,95,13,109,53,109
161,49,55,7,25,59,25
79,65,89,171,21,37,21
69,29,71,121,63,45,63
101,27,11,55,75,25,75
1,117,65,1,9,173,9
23,9,37,229,35,209,35
67,69,79,29,45,3,45
7,61,169,121,157,1,157
73,31,79,151,73,71,73
13,31,35,9,141,85,141
97,101,73,9,43,147,43
171,159,209,125,63,27,63
15,1,55,91,35,129,35
3,61,47,45,7,45,7
61,55,105,35,209,97,209
65,31,213,65,129,41,129
235,149,43,57,155,151,155
45,59,23,43,123,75,123
151,27,13,59,23,139,23
63,127,67,159,25,31,25
159,89,89,3,11,77,11
57,3,13,91,29,21,29
31,41,5,7,179,23,179
53,73,11,187,47,49,47
91,129,37,85,23,239,23
83,153,73,135,17,79,17
53,29,7,43,37,97,37
95,43,37,45,105,1,105
25,29,33,27,59,77,59
15,57,13,149,79,119,79
39,31,61,21,59,127,59
25,117,61,133,9,105,9
105,19,141,3,71,117,71
